eps,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
0.5,0.0,0.0969375762550173,0.025,0.026890403938798917,4.959195587623892,0.24999999999999994,0.978705616848596,0.7263369000145202
0.5,1.0,0.08622372858785778,0.1,0.033281461080786404,3.473833668801817,0.24999999999999994,0.9722484951857161,0.7153725240144465
0.5,2.0,0.07437545063759794,0.0,0.020165650803483034,4.899753148359637,0.24999999999999994,0.9816445000970845,0.7356672547079659
0.5,3.0,0.09026373680572436,0.075,0.03397751943438245,2.131082837950953,0.24999999999999994,0.9635227220714859,0.6928904250273279
0.5,4.0,0.09167676558943325,0.025,0.03501950947490147,2.5619067592668383,0.24999999999999994,0.9580580769720075,0.6674133201861628
0.5,5.0,0.0915662360234726,0.1,0.03150912777570421,2.6449663372372223,0.37499999999999994,0.9645357977072739,0.7040462090417934
0.5,6.0,0.08842309962593076,0.0,0.03613729492454662,3.3447190086043967,0.37499999999999994,0.9741325241883281,0.7233429418242415
0.5,7.0,0.0867418612627588,0.025,0.027832061169799062,4.851435036198924,0.24999999999999994,0.9795613101516928,0.7385814989273597
0.5,8.0,0.0965084510887234,0.125,0.03600852758547368,2.0212819461547085,0.37499999999999994,0.9602479537194023,0.6896687091784617
0.5,9.0,0.09346236096381638,0.0,0.031665964299202785,3.913545143777789,0.24999999999999994,0.9738482682565451,0.7281968351758652
1.0,0.0,0.0958275980450784,0.525,0.006770648678786825,1.8299541493066178,0.12499999999999997,0.9216912307515649,0.701264933810494
1.0,1.0,0.06602199082344455,0.025,0.037266571643000304,3.552111751902528,0.12499999999999997,0.973639630183975,0.7477590437488428
1.0,2.0,0.07849127808023885,0.325,0.0261840061371168,2.1099445387416145,0.24999999999999994,0.9591107837424344,0.7254100275367529
1.0,3.0,0.07066087383892494,0.15,0.03772883722962953,2.6886165510935025,0.24999999999999994,0.974123221513395,0.7314774387566646
1.0,4.0,0.08265651802661757,0.025,0.03359502492842387,3.8228670556435294,0.24999999999999994,0.9718781264304062,0.7160014709583706
1.0,5.0,0.07698851779635742,0.075,0.037246858581901764,2.7372504710095633,0.24999999999999994,0.9726849902972932,0.7286959115485451
1.0,6.0,0.07339691244721512,0.05,0.03283210179476988,3.7152130148318347,0.24999999999999994,0.9716406983265365,0.735285852885566
1.0,7.0,0.0757639989887193,0.025,0.030795987541582182,4.034625470767363,0.37499999999999994,0.9665491460129995,0.7048108489070228
1.0,8.0,0.07380825648242872,0.35,0.022417727744678415,1.9319886884707187,0.12499999999999997,0.9528546024408747,0.7133968946340049
1.0,9.0,0.08084238130792913,0.025,0.034247384721793686,4.078637062897813,0.24999999999999994,0.9756661238914577,0.7298913684368517
1.5,0.0,0.16110558432559077,0.775,0.0013115248140026295,0.7103414388608165,0.37499999999999994,0.43853595608111406,0.49406618155783766
1.5,1.0,0.15471457740337433,0.75,0.002710072539423603,1.5246922513438792,0.24999999999999994,0.5136721692290264,0.5505628802200024
1.5,2.0,0.16293208999244638,0.7,0.0007112226966203277,1.3621879434376554,0.24999999999999994,0.45200129231064984,0.54204177953024
1.5,3.0,0.1136363745118004,0.7,0.002106426342270872,1.7410131218625526,0.12499999999999997,0.5703111855838161,0.6627393926916518
1.5,4.0,0.14863502143455398,0.8,0.0007657426792033121,1.0792236966980693,0.24999999999999994,0.3923947796537648,0.5331339684663936
1.5,5.0,0.1353600621780426,0.775,0.0007843847990795648,2.568746763299825,0.24999999999999994,0.5751678172065898,0.5214854116040316
1.5,6.0,0.11038378495823144,0.75,0.0019863736061178612,3.2780040929107574,0.24999999999999994,0.5756845508259268,0.647112592326802
1.5,7.0,0.09153761176005529,0.7,0.00447614125063187,4.468472744173467,0.24999999999999994,0.6284907571567061,0.7194420730977631
1.5,8.0,0.16391807499235225,0.725,0.0005105702568751324,0.7010764034190702,0.37499999999999994,0.3975531567006344,0.42743269302681347
1.5,9.0,0.09386398153791926,0.8,0.00432205929654296,2.3941014482009084,0.12499999999999997,0.6189177094570177,0.707992599631111
2.0,0.0,0.18159313511187597,0.7,0.004874188374240883,0.6141964078409767,0.12499999999999997,0.5860703212844803,0.4800932357816008
2.0,1.0,0.13013009403262374,0.775,0.0054941297066613826,1.2304234976581112,0.24999999999999994,0.5704602075364982,0.5909837849198263
2.0,2.0,0.13227915955137293,0.8,0.00407167990963129,1.2309935333317483,0.24999999999999994,0.5495232157789564,0.5901502613739721
2.0,3.0,0.22370776411090734,0.825,0.0006911503265879585,1.013507486535202,0.37499999999999994,0.3525082334934464,0.3676370858492468
2.0,4.0,0.15144563136812164,0.85,0.000722353916532396,2.2680339877812568,0.12499999999999997,0.5187447977531505,0.5180337213189197
2.0,5.0,0.0904248825897693,0.75,0.004692341826116875,3.8627788955811018,0.37499999999999994,0.6331114343870706,0.6981831936688009
2.0,6.0,0.16143894494728736,0.75,0.0019054125842035059,0.8240672244733934,0.37499999999999994,0.4179421081087427,0.4420567604631614
2.0,7.0,0.14548645271030256,0.725,0.00471035355511837,1.3907706152428623,0.12499999999999997,0.5049068045989548,0.5553277899141515
2.0,8.0,0.165500622489909,0.85,0.0008311648607642153,1.701056950004397,0.12499999999999997,0.5406138509179482,0.521328908719314
2.0,9.0,0.172121134216594,0.75,0.003441184297146671,1.545525722993539,0.24999999999999994,0.46871687141692964,0.5268363131367758
2.5,0.0,0.24105249247347144,0.8,0.0006866445172683426,0.9299899915920025,0.12499999999999997,0.3074722749221709,0.2901783554740163
2.5,1.0,0.17039790688315803,0.75,0.003989191369700365,0.7812814827606598,0.37499999999999994,0.4441142954478224,0.44455115451958366
2.5,2.0,0.1980250698640938,0.725,0.002717226992705742,0.7486115982812037,0.37499999999999994,0.3814278357059421,0.38883812883333185
2.5,3.0,0.1536750091820841,0.775,0.0054186923757437114,0.9452107936442491,0.37499999999999994,0.5006086761680262,0.49012282405435903
2.5,4.0,0.18067858139114504,0.8,0.005496518892805102,1.036307741473048,0.12499999999999997,0.4640085320791804,0.47159813118191796
2.5,5.0,0.18646045072818687,0.775,0.004866143256768633,0.8445223427870484,0.12499999999999997,0.46675122990629775,0.45758833100783874
2.5,6.0,0.1577658490932458,0.8,0.004965530153222169,0.8357964299445343,0.24999999999999994,0.5109820546266182,0.4630272033336143
2.5,7.0,0.16980850934188713,0.75,0.0035573500115326485,0.7527836422649945,0.24999999999999994,0.45787716644957843,0.47033172125354084
2.5,8.0,0.13092132714718344,0.8,0.003986609678457115,1.3139493751514604,0.24999999999999994,0.5614017810936279,0.5807229720835198
2.5,9.0,0.21390020035499474,0.8,0.0020671517687112758,0.6904126353229788,0.12499999999999997,0.3798454903543896,0.36887112187186505
3.0,0.0,0.20191545913764142,0.825,0.005718275723781694,0.796054756330396,0.24999999999999994,0.47133069031662533,0.45033342742943766
3.0,1.0,0.19244957000764554,0.75,0.005148874420253123,0.7550373694841197,0.24999999999999994,0.4471379543792507,0.41307637749029175
3.0,2.0,0.2730081598844908,0.75,0.0007715553791708786,0.5288971560976683,0.24999999999999994,0.29109678195052674,0.26405784126774134
3.0,3.0,0.19009032490074312,0.775,0.004856778887033078,0.9534935958878689,0.24999999999999994,0.43747385617963575,0.4272630689215792
3.0,4.0,0.19407140691152253,0.7,0.004820000787398226,1.113061432866595,0.0,0.46287375355031846,0.4590716660921134
3.0,5.0,0.15010687888995702,0.8,0.004716373852339082,1.0303164088927994,0.24999999999999994,0.5092431081143619,0.5202956782070512
3.0,6.0,0.2776795392851842,0.725,0.0009187793282212798,0.6358255944136666,0.12499999999999997,0.31862587730693964,0.29936773440728365
3.0,7.0,0.15631772672916208,0.825,0.005077972921900704,0.8632680029659826,0.12499999999999997,0.5620302332727732,0.5086915174280133
3.0,8.0,0.17636876896765058,0.75,0.005351804682536728,1.0906642734565213,0.12499999999999997,0.4669663125725467,0.4698610253774045
3.0,9.0,0.22050457373730306,0.8,0.006107963509743813,0.8353493408732254,0.12499999999999997,0.47167787627310603,0.43159268600330947
3.5,0.0,0.2907609004670698,0.775,0.0013391332765285164,0.4966027256598634,0.37499999999999994,0.5232101936968859,0.23887292249498251
3.5,1.0,0.26455585495158385,0.725,0.008905325863284535,0.43506091077031367,0.24999999999999994,0.4181227377778193,0.27380790735505417
3.5,2.0,0.27487837230038553,0.75,0.0008242541809162583,0.5236102956978393,0.24999999999999994,0.2972195002703641,0.29102291494762433
3.5,3.0,0.1865246161323291,0.825,0.004673760793629234,1.02957260337122,0.12499999999999997,0.4841254888628272,0.4430399393323394
3.5,4.0,0.22891139991518472,0.7,0.005251442161240951,0.7359353925737228,0.37499999999999994,0.4472206311012339,0.40021864821565
3.5,5.0,0.22622904580630016,0.775,0.0045404624065107395,0.602578273364658,0.0,0.42622540095534645,0.386624900037219
3.5,6.0,0.19462758605511335,0.85,0.005973975311928477,0.8544003456561425,0.12499999999999997,0.477642942824047,0.4384123926874997
3.5,7.0,0.19867203577066303,0.775,0.004853803174337225,0.7138663648872021,0.24999999999999994,0.4265423644218356,0.4132200629493818
3.5,8.0,0.20228581863912423,0.75,0.005964605065147653,1.2629962852573569,0.12499999999999997,0.48064652272029873,0.45511451327172153
3.5,9.0,0.22645390540360524,0.725,0.006114336379677743,0.9252715831468679,0.24999999999999994,0.4459043485053069,0.4123586048205648
