epsilon,avg_nmi,avg_evc_overlap,avg_evc_MAE,avg_deg_kl,avg_diam_rel,avg_cc_rel,avg_mod_rel
0.5,0.1159115358463932,0.485,0.024803660818548543,0.3549430438868612,0.24999999999999994,0.7976852077988088,0.6079560037751808
1.0,0.4194302533350146,0.72,0.002550140705053515,0.5089973309532645,0.07499999999999998,0.32808622692361916,0.20403160572462337
1.5,0.5484589035617006,0.7449999999999999,0.0006500569692997035,0.4788627223859928,0.024999999999999994,0.1611392694077725,0.07260310516377545
2.0,0.5769777000497702,0.7,0.0008289286299938373,0.4314348357963166,0.14999999999999997,0.1465826685673714,0.04479927277882824
2.5,0.6304167198644421,0.765,0.0006661000870272669,0.36987566201952965,0.12499999999999996,0.1316945329350971,0.031592713533277
3.0,0.6888580867445513,0.765,0.0007400316177093603,0.38129600736034075,0.12499999999999997,0.12256073171720545,0.012558432452124579
3.5,0.7234840657306881,0.775,0.0007092945098565015,0.37485729121336475,0.22499999999999995,0.11289632684194884,0.001467974289783688
