eps,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
0.5,0.0,0.36608953370130953,0.9,0.007308660550289314,1.1757883724725475,0.5384615384615384,0.8514818041018125,0.7879741183623182
0.5,1.0,0.3702259086705314,0.9,0.007005084899138014,1.180780663436028,0.5384615384615384,0.8510975821011395,0.7899043899831905
0.5,2.0,0.372415818957632,0.8833333333333333,0.006889286858477245,1.1742170647342456,0.46153846153846145,0.8504283638396394,0.7941015804015861
0.5,3.0,0.36253550770573173,0.9083333333333333,0.006874592292916483,1.1565638102015767,0.5384615384615384,0.8526656428452796,0.7803891461576344
0.5,4.0,0.3675102832070574,0.8666666666666667,0.0073182634571806555,1.2026428794115616,0.46153846153846145,0.8521318312415939,0.7885054161655592
1.0,0.0,0.19917721741496186,0.9166666666666666,0.006867964164115939,0.44319757861426606,0.5384615384615384,0.8594597335416757,0.7355592863407934
1.0,1.0,0.20108594760778567,0.9166666666666666,0.007213217465447193,0.4628172941566946,0.846153846153846,0.8603999350946694,0.7405923317823684
1.0,2.0,0.19869763131287216,0.925,0.007008183556497992,0.4450184984934463,0.7692307692307692,0.8590242846242898,0.7387357406349929
1.0,3.0,0.18485403456943245,0.925,0.007172711921796392,0.43535561758598207,0.3846153846153846,0.8607651387679026,0.731594843543853
1.0,4.0,0.19618240414158436,0.9166666666666666,0.006884446225003008,0.42926330525489204,0.6923076923076922,0.8592649146455293,0.7322128442410105
1.5,0.0,0.22816799025965726,0.8,0.0027666708505217196,0.6934463773316666,0.46153846153846145,0.3109077000132059,0.24788472362263578
1.5,1.0,0.22081431887753072,0.7666666666666667,0.0031195724229401535,0.6175323186460673,0.3846153846153846,0.31786297162983973,0.24637126906887957
1.5,2.0,0.21844760525154072,0.7666666666666667,0.0029733769410674373,0.5887319767216963,0.46153846153846145,0.3125569078529091,0.24447674047975446
1.5,3.0,0.21755138109339914,0.6583333333333333,0.001318342861352204,0.6318833211853999,0.46153846153846145,0.2842011417971118,0.2705921044870884
1.5,4.0,0.22550744985422766,0.6166666666666667,0.0012665289880097574,0.6297557222883265,0.46153846153846145,0.2739787318607935,0.2753333441698424
2.0,0.0,0.29712786610014785,0.9583333333333334,0.005497994754839568,0.51821272154702,0.30769230769230765,0.642777307944308,0.3232371740433458
2.0,1.0,0.2936116129524751,0.95,0.005460693335137253,0.5514977484771475,0.3846153846153846,0.6382048308109382,0.31942184176557203
2.0,2.0,0.30600378614171575,0.9333333333333333,0.005365087604790042,0.560504390382822,0.23076923076923073,0.651957154307567,0.3293920555951669
2.0,3.0,0.29884085170653124,0.9416666666666667,0.0053625975044037984,0.544033379596478,0.3846153846153846,0.6512775430397166,0.32700646646425163
2.0,4.0,0.2933249798922574,0.95,0.005430873459252219,0.6131288496425759,0.30769230769230765,0.652998743041636,0.32924521781550115
2.5,0.0,0.29859787650483094,0.9416666666666667,0.005839809229344946,0.569174245954048,0.30769230769230765,0.6672877931093102,0.3504635847491292
2.5,1.0,0.29511651628949864,0.9333333333333333,0.005560843528058416,0.5405765667461155,0.3846153846153846,0.6701533106598805,0.3510328266924857
2.5,2.0,0.2967689381463096,0.9333333333333333,0.006242536848051999,0.5102144042483424,0.30769230769230765,0.6788838436459317,0.3547557689711727
2.5,3.0,0.29783150112396245,0.9416666666666667,0.005704218304119796,0.5235074369770002,0.30769230769230765,0.6765065672023622,0.35306955059979545
2.5,4.0,0.29182130411476276,0.9583333333333334,0.005794568713835985,0.5070013452095068,0.15384615384615383,0.6723194052276144,0.3490606923812104
3.0,0.0,0.319987549138289,0.9583333333333334,0.005295279060535771,0.4786146351218903,0.30769230769230765,0.6663741660954698,0.32991290889684705
3.0,1.0,0.31760849213136194,0.9416666666666667,0.0058202839484729025,0.4956751921039209,0.23076923076923073,0.6663387967826528,0.3323325112806188
3.0,2.0,0.3182209467770505,0.975,0.005540969004333048,0.548852711258069,0.23076923076923073,0.6663653541338167,0.3284808130285255
3.0,3.0,0.31125325759289557,0.95,0.005897969686679507,0.5549005421168697,0.30769230769230765,0.6667383483460061,0.318077597894117
3.0,4.0,0.3182313902405966,0.9583333333333334,0.005584889896629134,0.48951865774335845,0.30769230769230765,0.6638223482997313,0.3286315183650059
3.5,0.0,0.31840000858122414,0.9416666666666667,0.005677911351215468,0.4494775091936538,0.23076923076923073,0.6764304582960049,0.31388827835178207
3.5,1.0,0.31872703890330145,0.9666666666666667,0.005786466525785827,0.4489843979104575,0.23076923076923073,0.675685311052875,0.3088960028150091
3.5,2.0,0.3230263323196706,0.9416666666666667,0.005849660091408262,0.46301271699107105,0.15384615384615383,0.6695368216187898,0.2991061192317147
3.5,3.0,0.32236089801879664,0.95,0.005859084356977456,0.48524057424639033,0.15384615384615383,0.6761851063934765,0.30523267681206295
3.5,4.0,0.3145620356402577,0.9333333333333333,0.005705967171019244,0.5622730490511287,0.23076923076923073,0.6849570954795684,0.3183470728286076
