eps,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
0.5,0.0,0.1522042770712831,0.6818181818181818,0.008071923248106022,0.9654342115520358,0.4545454545454545,0.43813735698310313,0.4412928504946615
0.5,1.0,0.31417777344806835,0.7727272727272727,0.006668371213065804,1.6049233001435321,0.5454545454545454,0.4116945417147427,0.4506711913041074
0.5,2.0,0.3059888823600215,0.7727272727272727,0.008031778829691862,1.7830232712312366,0.5454545454545454,0.44733419808373565,0.578424954697681
0.5,3.0,0.30707935625706945,0.7272727272727273,0.006715141989284548,1.6839291187051417,0.4545454545454545,0.44778569189927064,0.6418022819427144
0.5,4.0,0.313455059510383,0.8181818181818182,0.0067528635530342725,1.948247960926432,0.5454545454545454,0.3122806079563908,0.3836159621076078
1.0,0.0,0.3767021408278472,0.7272727272727273,0.002496645206529101,1.317202870510267,0.2727272727272727,0.05368500486056109,0.19654794785255403
1.0,1.0,0.3666007704516074,0.8636363636363636,0.0023573233229822912,1.065171351912613,0.3636363636363636,0.01725120621597324,0.17791660938038445
1.0,2.0,0.3660261446656155,0.9545454545454546,0.0036193618627357494,1.404735004786006,0.3636363636363636,0.0503337712707924,0.2936408274817134
1.0,3.0,0.3662620865580237,0.9090909090909091,0.002678486322250727,1.2385150186493223,0.4545454545454545,0.00258832445757532,0.2033858963179625
1.0,4.0,0.3750512071542921,0.9090909090909091,0.0018283881744760387,1.388044637537043,0.2727272727272727,0.02341480725102632,0.177496852239742
1.5,0.0,0.3997049304945633,0.8636363636363636,0.0013258014106614653,1.3933436539713986,0.1818181818181818,0.05178376016222821,0.1508960553099203
1.5,1.0,0.4390220274286522,0.9545454545454546,0.0018136933350225747,1.5593623548413995,0.3636363636363636,0.1344982565547417,0.08949451417631886
1.5,2.0,0.43544837014940796,0.7727272727272727,0.0010439805460781164,1.236415897806681,0.2727272727272727,0.10022722032983192,0.07638586329617215
1.5,3.0,0.40393914546684245,0.9090909090909091,0.0006404763937565252,1.4634597778583018,0.1818181818181818,0.08366857474052371,0.14514250747053467
1.5,4.0,0.4351689966812284,0.8636363636363636,0.002021033313959203,1.384947779783587,0.3636363636363636,0.09882749588846483,0.1328967515225775
2.0,0.0,0.4629179832311014,0.8181818181818182,0.001449078847956438,1.2923520654810527,0.2727272727272727,0.10477633211260141,0.09304358759928762
2.0,1.0,0.5070772741479983,0.8181818181818182,0.0014370475609639748,1.4244849665632802,0.3636363636363636,0.10287366931038053,0.03599853449534118
2.0,2.0,0.47247887781425973,0.8636363636363636,0.001243480025174345,1.0944290857760146,0.2727272727272727,0.0798119497173452,0.0838429878625666
2.0,3.0,0.4621338491008728,0.8636363636363636,0.0013381382352547432,1.389212048872548,0.0909090909090909,0.10477385253276703,0.09704117509306291
2.0,4.0,0.48385411271534967,0.9090909090909091,0.001393389543226422,1.278710331176519,0.2727272727272727,0.15315258307385254,0.04863953174283684
2.5,0.0,0.5226644636003337,0.9090909090909091,0.0017584846329052619,1.1829278406743855,0.1818181818181818,0.1277640270718114,0.015325236696754367
2.5,1.0,0.5366015888326822,0.8636363636363636,0.0013711843850613213,1.0119743776781247,0.2727272727272727,0.14392168685892762,0.012216570885409813
2.5,2.0,0.5217124190378811,0.8636363636363636,0.0011544667399297991,1.0618823497872714,0.1818181818181818,0.12194645645201196,0.023307852062637968
2.5,3.0,0.5283732077909965,0.8181818181818182,0.0018851532799572448,1.035656827426549,0.2727272727272727,0.1347659178545631,0.02900468117691812
2.5,4.0,0.4729926186835993,0.8636363636363636,0.0012106166551542827,1.3077929361069043,0.1818181818181818,0.1336555593139673,0.03701381674111271
3.0,0.0,0.5871460388417891,0.8181818181818182,0.001843058429046466,1.0252465861584477,0.2727272727272727,0.16611727396050477,0.009138104894023209
3.0,1.0,0.5545534413533921,0.9090909090909091,0.0018505255654429657,1.0805246838345401,0.2727272727272727,0.13844925834048447,0.00021890672323660425
3.0,2.0,0.555092653380121,0.8636363636363636,0.0016095966208930224,1.0541083819863493,0.2727272727272727,0.1560800737229125,0.0015680857216657398
3.0,3.0,0.5794571607908923,0.8181818181818182,0.000997762810546228,1.1781945152882356,0.1818181818181818,0.15349191148517033,0.003639722382439234
3.0,4.0,0.5524824319370181,0.8636363636363636,0.0012978421153424394,1.0771754299511809,0.1818181818181818,0.1558099894397688,0.0029710805091540805
3.5,0.0,0.5899827300006611,0.8636363636363636,0.0014871816045453768,1.1249413273511566,0.1818181818181818,0.16158111722286245,0.021385218246937166
3.5,1.0,0.6181789578668861,0.8636363636363636,0.0016364772992244513,1.0872638210827639,0.2727272727272727,0.1256842066533879,0.03288523296094432
3.5,2.0,0.6229675414506721,0.8636363636363636,0.001653413759713341,1.16816548125008,0.2727272727272727,0.1556565184534897,0.028270633993204605
3.5,3.0,0.6214225454364672,0.8636363636363636,0.0014717049089109956,0.891009453880439,0.2727272727272727,0.16859216704624178,0.030577760761564342
3.5,4.0,0.625218533045413,0.8636363636363636,0.0016832317396444155,0.8573103192516449,0.2727272727272727,0.11547305816011771,0.036094055600114465
